date,state,sex,ethnicity,age,population
2020-01-01,Malaysia,overall_sex,overall_ethnicity,overall_age,32447.4
2020-01-01,Malaysia,overall_sex,overall_ethnicity,0-4,2519.5
2020-01-01,Malaysia,overall_sex,overall_ethnicity,5-9,2641.2
2020-01-01,Malaysia,overall_sex,overall_ethnicity,10-14,2611.2
2020-01-01,Malaysia,overall_sex,overall_ethnicity,15-19,2839.5
2020-01-01,Malaysia,overall_sex,overall_ethnicity,20-24,2867.0
2020-01-01,Malaysia,overall_sex,overall_ethnicity,25-29,2891.6
2020-01-01,Malaysia,overall_sex,overall_ethnicity,30-34,2907.2
2020-01-01,Malaysia,overall_sex,overall_ethnicity,35-39,2742.6
2020-01-01,Malaysia,overall_sex,overall_ethnicity,40-44,2194.8
2020-01-01,Malaysia,overall_sex,overall_ethnicity,45-49,1843.7
2020-01-01,Malaysia,overall_sex,overall_ethnicity,50-54,1586.0
2020-01-01,Malaysia,overall_sex,overall_ethnicity,55-59,1459.8
2020-01-01,Malaysia,overall_sex,overall_ethnicity,60-64,1152.1
2020-01-01,Malaysia,overall_sex,overall_ethnicity,65-69,917.4
2020-01-01,Malaysia,overall_sex,overall_ethnicity,70-74,611.4
2020-01-01,Malaysia,overall_sex,overall_ethnicity,75-79,329.3
2020-01-01,Malaysia,overall_sex,overall_ethnicity,80-84,194.6
2020-01-01,Malaysia,overall_sex,overall_ethnicity,85+,138.5
2020-01-01,Malaysia,male,overall_ethnicity,overall_age,16966.2
2020-01-01,Malaysia,male,overall_ethnicity,0-4,1286.4
2020-01-01,Malaysia,male,overall_ethnicity,5-9,1368.1
2020-01-01,Malaysia,male,overall_ethnicity,10-14,1351.6
2020-01-01,Malaysia,male,overall_ethnicity,15-19,1488.6
2020-01-01,Malaysia,male,overall_ethnicity,20-24,1544.6
2020-01-01,Malaysia,male,overall_ethnicity,25-29,1581.6
2020-01-01,Malaysia,male,overall_ethnicity,30-34,1565.0
2020-01-01,Malaysia,male,overall_ethnicity,35-39,1464.4
2020-01-01,Malaysia,male,overall_ethnicity,40-44,1167.1
2020-01-01,Malaysia,male,overall_ethnicity,45-49,957.8
2020-01-01,Malaysia,male,overall_ethnicity,50-54,804.0
2020-01-01,Malaysia,male,overall_ethnicity,55-59,743.4
2020-01-01,Malaysia,male,overall_ethnicity,60-64,576.8
2020-01-01,Malaysia,male,overall_ethnicity,65-69,457.0
2020-01-01,Malaysia,male,overall_ethnicity,70-74,297.6
2020-01-01,Malaysia,male,overall_ethnicity,75-79,156.5
2020-01-01,Malaysia,male,overall_ethnicity,80-84,89.2
2020-01-01,Malaysia,male,overall_ethnicity,85+,66.5
2020-01-01,Malaysia,female,overall_ethnicity,overall_age,15481.2
2020-01-01,Malaysia,female,overall_ethnicity,0-4,1233.0
2020-01-01,Malaysia,female,overall_ethnicity,5-9,1273.1
2020-01-01,Malaysia,female,overall_ethnicity,10-14,1259.6
2020-01-01,Malaysia,female,overall_ethnicity,15-19,1350.9
2020-01-01,Malaysia,female,overall_ethnicity,20-24,1322.4
2020-01-01,Malaysia,female,overall_ethnicity,25-29,1310.0
2020-01-01,Malaysia,female,overall_ethnicity,30-34,1342.1
2020-01-01,Malaysia,female,overall_ethnicity,35-39,1278.2
2020-01-01,Malaysia,female,overall_ethnicity,40-44,1027.7
2020-01-01,Malaysia,female,overall_ethnicity,45-49,885.9
2020-01-01,Malaysia,female,overall_ethnicity,50-54,782.0
2020-01-01,Malaysia,female,overall_ethnicity,55-59,716.4
2020-01-01,Malaysia,female,overall_ethnicity,60-64,575.2
